questionsCE2francais,reponse,Mauvaisereponse1,Mauvaisereponse2
Lequel de ces mots est du genre féminin ?,Geôle,Pétale,Arbre
"Quel est le verbe pour le mot ""plant"" ?",Planter,Plantiner,Planquer
"Que signifie le mot ""mousse"" dans cette phrase ""La mousse pousse au pied des arbres"" ?",C'est une plante,C'est un dessert,C'est des bulles de savon
Un mot de cette liste n'est pas un synonyme des autres. Lequel est-ce ?,Parler,Manger,Avaler
"Trouvez le bon homonyme pour ""outil pour couper du bois ou du métal"" ?",Scie,Six,Si
"Le nom qui provient du verbe ""passer"", c'est :",Passage,Passation,Passement
"La phrase ""Léa ira à la mer dans deux mois"" est :",Au futur,Au présent,Au passé
Quelle est la bonne orthographe ?,Escaliers,Esscaliers,Èscallets
Quelle phrase ne comporte pas de COD ?,Il marche.,Il joue du violon.,Elle sait la vérité.
"Quelle lettre muette met-on au mot pour ""... de mer"" ?",Un bord,Un bort,Un bors
"Dans le dictionnaire quel mot se trouve après ""trousse"" ?",Trouver,Trouille,Troubadour
"Quelle est la bonne terminaison pour ce verbe : ""César et ses armées..... la ville d'Alésia"" ?",Encerclent,Encerclent,Encercle
Un adjectif qualificatif est un mot :,Qui donne des informations sur le nom,Qui donne des informations sur le verbe,Qui est toujours devant le nom
Quel verbe ne fait pas partie du deuxième groupe ?,Dormir,Rougir,Gémir
"Quel est l'homonyme qui correspond à cette définition : ""une grande étendue d'eau"" ?",Lac,Laque,Lacque
"Trouve le temps ? Autrefois, mon grand-père attrapait des lézards.",Passé,Présent,Futur
"Trouve le temps ? Dans deux mois, je serai en vacances.",Futur,Présent,Passé
"Trouve le temps ? Aujourd'hui, je suis à l'école.",Présent,Passé,Futur
"Trouve le temps ? Il y a un mois, Paul a été malade.",Passé,Futur,Présent
"Trouve le temps ? L'an dernier, j'étais au CP.",Passé,Futur,Présent