QuestionsMaths,reponse,mauvaisereponse1,mauvaisereponse2
"Vincent a 6 ans. Paul a 9 ans de plus que Vincent. Mélanie a 4 ans de plus que Paul, et Victor a 2 ans de moins que Mélanie. Quel âge a Victor ?",17 ans,16 ans,18 ans
"Un fermier a ramassé 15 pommes dans la matinée. Pour le déjeuner, il en prend 7 et il vendra les autres au marché. Combien en a-t-il ?",7 pommes,8 pommes,9 pommes
"Catherine va chez le boucher avec un billet de 100 €. A la caisse, la vendeuse lui rend 57,28 €. Combien a-t-elle payé ?",42.72 €,23.62 €,63.92 €
"Luc a 71 ans. Sa petite-fille, Margot en a 62 de moins. Elle a quel âge ?",9 ans,10 ans ,11 ans
60 x 40 ?,2400,2100,2600
A combien de minutes correspond deux heures ?,120,110,105
7x7+7x6-11 donnent :,80,77,89
Martin a eu son chien en mai 2017 et on est en mars 2019. Depuis combien de temps Martin a-t-il son chien ?,Il y a 1 an et 10 mois.,Il y a 10 mois.,Il y a 1 an et 9 mois.
Clément est producteur de vanille. Il a récolté 2 kg et 450 gr. Mais 550 gr doivent être retirés car quelques gousses étaient pourries. Quel poids de vanille reste-t-il ?,1 kg 900 gr,1 kg 950 gr,2 kg 50 gr
Emmanuelle ne se souvient plus de son âge mais elle sait qu'elle a eu Violette a 31 ans et que Violette a 2 ans de plus que Jeanne qui a 4 ans. Quel âge a Emmanuelle ?,36 ans ,35 ans,34 ans
100x100 = ?,10000,100000,1000
Jeanne voit 6 pommes et elle en prend 4. Combien de pommes a-t-elle ?,4,2,1
(9+6)+(8x3)-(14+1) = ?,24,25,26
Deux adultes et trois enfants vont en voyage. Un ticket pour adulte coûte 65 € et trois tickets pour enfants coûtent 150 €. Combien doivent-ils payer en tout ?,280€,515€,220€
70x70 = ?,4900,4800,4600
9x40 = ?,360,340,350
"Un train est formé de 20 wagons de 2e classe, 6 wagons de 1re classe, 1 wagon postal et 1 wagon-restaurant. Combien y'a t'il de wagons ?",28,30,31
Le sac de Mathieu contient 8 billes. Celui de Tom en contient le triple. Combien de billes a Tom ?,24,28,32
35 voyageurs sont dans l'autobus. 12 descendent et 6 montent. Combien y'a t'il de passgers dans le bus ?,29,30,28
100x32 = ?,3200,3300,3500