QuestionsCM2Histoire,reponse,Mauvaisereponse1,Mauvaisereponse2
Qui est le premier roi de la renaissance ?,François 1er,Henri IV,Napoléon 1er
Qui a signé l'édit de Nantes ?,Henri IV,Louis XVI,Napoléon 1er
Quel roi a été guillotiné en 1793 ?,Louis XVI,Louis XIV,Napoléon 1er
Où est né Napoléon 1er ?,en Corse,À Paris,À Marseille
Quel roi avait tous les pouvoirs ?,Louis XIV,François 1er,Henri IV
Quel était le nom entier de Napoléon 1 er ?,Napoléon Bonaparte,Napoléon Bonapall,Napoléon Bonali
Quand est mort Napolén 1er ?,1821,1813,1810
Combien y'a t'il d'océans sur Terre ?,5,3,6
Un cercle imaginaire parallèle à l'équateur est un ?,Parallèle,Méridien,
Où est situé la comission européenne ?,Bruxelles,Strasbourg,Paris
comment se nomme la plus grande montagne de France ?,Le Mont-Blanc ,Le Mont Saint-Michelle,Le Mont noir 
Que signifie conversion?,Changer de religion,Avoir deux religions,Etre sans religion
Quel château symbolise la grandeur de Louis XIV?,Versailles,Le Louvre,Saint-Germain
Quel autre nom donne-t-on à Louis XIV?,Le roi soleil,Le roi lune ,Le roi des rois
Quel âge a Louis XIV à la mort de son père?,5 ans,5 mois,13 ans
A quoi servent les cahiers de doléances?,A donner l'avis du peuple ,A commander à manger,A écrire des lois
quelle dynastie apparient Charlemagne?,Les Carolingiens ,Les Mérovingiens,Les Bourbons
quelle dynastie apparient Clovis ?,Les Mérovingiens,Les Bourbons,Les Carolingiens 
Combien y'a t'il de régions en metropôle ?,13,14,15
A quel type de paysage appartiennent les neiges éternelles ?,Paysage Montagnard,Paysage Urbain,Paysage littoral