questionsCPfrancais,reponse,Mauvaisereponse1,Mauvaisereponse2
"Quel mot contient le plus de syllabes : ""éléphant"", ""rhinocéros"" ou ""tigre"" ?","""Rhinocéros"".","""Eléphant"".","""Tigre""."
"Vrai ou faux ? Dans le mot ""kangourou"", il y a 4syllabes.",Faux.,Vrai ,
Comment appelle-t-on une boutique dans laquelle on vend de la viande ?,une Boucherie.,Un fleuriste.,Un coiffeur.
"Contraire du mot ""mauvais"" ?",Bon ,Faux.,Passable.
Quel est la troisième lettre de l'alphabet ?,C.,B.,Y.
"Trouve l'intrus : tomate, ballon, pomme.",Ballon,Pomme.,Tomate.
Comment appelle-t-on une personne qui vole sur un balai et prépare des potions magiques ? ,Une sorcière.,Une femme de ménage.,Une cuisinière.
"Corrige le mot cheval : ""Les cheval galopent dans le pré"".","""chevaux"".","""chevals"". ","""chevales""."
Reconstitue le mot : ra-fe-gi.,Girafe.,Feragi. ,Ragife.
"Quand on écrit à son cousin, lui envoie-t-on un magazine, une lettre ou un timbre ?",Une lettre.,Un magazine.,Un timbre.
"Quelles sont les deux voyelles du prénom ""Lola"" ?",O et A.,L et L.,L et O
Mot signifiant : mauvais rêve. ,Cauchemar.,Peur.,Amusant.
Comment appelle-t-on  une personne qui vend des fleurs ?,Le (ou la) fleuriste.,Le  (ou la) cuisinier(e).,Le (ou la) facteur(factrice).
"Dans l'alphabet, quelle lettre vient après N ?",O.,M.,P.
Quel est la bonne orthographe ?,Des arbres.,Un arbe.,Un arbres.
Quel est la bonne orthographe ?,Un doigt.,Un douat.,Une doigt.
Quel est la bonne orthographe ?,Un fauteuil.,Une fauteuil.,Un fauteuils.
"Quelles lettres faut-il utiliser pour écrire le mot ""montre"" ?",m-t-r-e-n-o.,m-t-r-a-n-o.,m-t-r-a-n-e.
"Dans le mot ""bijou"", quel son entend-on ?",[jou].,[sou].,[chou].
"Quel est la dernière lettre du mot ""10"" ?","""x"".","""c"".","""s""."