QuestionsMaths,reponse,Mauvaisereponse1,Mauvaisereponse2
Quel est le reste de la division de 99 par 5 ?,4,3,2
"Si je pars à 8h00 de chez moi et que je marche à 8 km/h combien de temps mettrai-je pour arriver à l'école qui se trouve à 4 km ?",30 minutes,1 heure,2 heures
Priorités de calcul : 2 x 3 + 4 x 5 = ?,26,35,50
Divisions : 102 / 3 = ?,34,33,32
Combien font trois quarts ?,0.75,0.89,0.30
"Julien a acheté 1 gâteau. Il le coupe en 8 parts égales et en donne 1/2 à ses copains. Combien lui reste de gâteau ?",1/2,3/4,3/8
"J'ai 35 bonbons j'en donne 5 à mes 7 copains. Combien me reste-t-il de bonbons ?",0,5,10
Comment s'appelle un triangle qui a 2 côtés de même longeur ?,Un triangle isocèle,Un trinagle équilatéral,Un triangle quelconque
Combien font 1/4 ?,0.25,0.30,0.50
Une boutique d'électroménager achète 189 télescopes et en vend par la suite à 3 boutiques différentes. Combien de téléscopes vend-t-il à chaque boutique ?,63,52,38
"Dans une boutique Apple un I pad coûte 328 €. A la fin de la journée  la boutique Apple vend 40 I pad. Combien cela a-t-il rapporté ?",13120,1312,130120
Un nombre décimal possède toujours une virgule ?,Vrai,Faux,"Je ne sais pas"
"Quelle est la partie entière du nombre 123.456?",123,456,3
"Quel est le chiffre des dixièmes de 5.789?",7,8,9
"0.002 se lit deux centièmes ?",Faux,Vrai,"Je ne sais pas"
Calculer l'aire d'un carré qui fait 4 cm de côté. Quelle est son aire?,16 cm²,8 cm²,32 cm²
Quel est le périmètre d'un carré qui fait 5cm de côté?,20 cm,20 cm²,25 cm
Deux droites perpendiculaires sont deux droites qui se coupent en formant un angle droit.,Vrai,Faux,"Je ne sais pas"
Deux droites sont parallèles si elle n'ont pas de point d'intersection ou si elles sont confondues.,Vrai,Faux,"Je ne sais pas"
Quelle est la valeur des angles d'un carré ABCD?,90°,45°,180°